catégorie;énoncé;réponse1;réponse2;réponse3;bonne_réponse
foot;Qui a marqué un but légendaire en reprise de volée lors de la finale Ligue des Champions 2002 ?;Zinedine Zidane;Thierry henry;David Trezeguet;0
foot;Quelle équipe espagnole a remporté la Ligue Europa 3 fois de suite entre 2014 et 2016;FC Barcelone;Real Madrid;FC Seville;2
foot;Quelle équipe a remporté la Ligue des Champions 2019 avec Jürgen Klopp comme entraîneur ?;Liverpool;Manchester City;Chelsea;0
foot;Quel club a remporté la dernière Coupe d’Europe des Vainqueurs de Coupes avant sa disparition en 1999 ?;Lazio Rome;Manchester United;Milan;0
foot;Quel club français est surnommé « les verts » ?;As St Etienne;Fc Nantes;Girondins de Bordeaux;0
foot;Quel joueur français a marqué un doublé en finale de la Coupe du Monde 1998 ?;Thierry Henry;Zinedine Zidane;David Trezeguet;1
foot;Quel club français a remporté le plus de titres de champion de France ?;As St Etienne;Paris Saint Germain;Olympique de Marseille;1
foot;Dans quelle ville se trouve le « Groupama Stadium » ?;Marseille;Lyon;Lille;1
foot;Quel joueur français a remporté le Ballon d’Or en 2022 ?;Antoine Griezmann;Karim Benzema;Kylian Mbappé;1
foot;Quel club français a atteint la finale de Coupe d’Europe des Clubs Champions en 1976 ?;AS St Etienne;Olympique de Marseille;Stade de Reims;0
foot;Quelle équipe était surnommée « le carré magique » dans les années 1980 ?;Equipe de France;Girondins de Bordeaux;Olympique de Marseille;0
foot;Quel club français a disputé la finale de Coupe d’Europe en 1956 ?;Stade de Reims;OGC Nice;Rc Lens;0
foot;Quel joueur a le plus grand nombre de séléctions en Equipe de France ?;Lilian Thuram;Hugo Lloris;Olivier Giroud;1
foot;Quel club français est surnommé « les dogues » ?;RC Lens;Losc Lille;Fc Metz;1
foot;Quel club français a été Champion de Ligue 1 en 2021, interrompant la domination du PSG ?;Lille;Monaco;Lyon;0
foot;Quel est le surnom du club de Manchester United ?;Reds;Red devils;Blues;1
foot;Quel club joue ses matchs au stade de San Siro ?;Juventus de Turin;Inter Milan;As Rome;1
foot;Quel club portugais est représenté par un aigle sur son blason ?;Fc Porto;Benfica Lisbonne;Sporting Portugal;1
foot;Quel club argentin est le plus gros rival de River Plate ?;Boca Juniors;Independiente;San Lorenzo;0
foot;Quel club néerlandais est célèbre pour son centre de formation appelé « De Toekomst »;Feyenoord;Ajax Amsterdam;PSV Eindhoven;1
foot;Quel est le premier club britannique à remporter la Coupe d’Europe des Clubs Champions en 1967 ?;Glasgow Rangers;Celtic Glasgow;Aberdeen;1
foot;Quel club turc est le plus titré du pays ?;Galatasaray;Fenerbahce;Besisktas;0
foot;Quel club brésilien a révélé Neymar avant son transfert au FC Barcelone ?;Flamengo;Santos;Palmeiras;1
foot;Quel club anglais est surnommé « the citizens » ?;Arsenal;Manchester City;Chelsea;1
foot;Quel club mexicain est le plus titré du pays ?;Tigres;America;Chivas Guadalajara;1
foot;Quel joueur brésilien est le seul joueur a avoir gagné 3 finales de coupe du monde ?;Pelé;Ronaldo;Neymar;0
foot;Quel joueur français a gagné le Ballon d’Or en 1998 ?;Thierry Henry;Zinedine Zidane;Michel Platini;1
foot;Quel joueur portugais est célèbre pour son numéro 7 et ses nombreux records ?;Cristiano Ronaldo;Eusebio;Luis Figo;0
foot;Qui est le joueur ayant reçu le plus de Ballon d’or ?;Messi;Crstiano Ronaldo;Maradona;0
foot;Quel joueur néerlandais a révolutionné le football moderne et inspiré le « football total » ?;Ruud Gullit;Johan Cruyff;Marco Van Basten;1
foot;Quel joueur a remporté 3 ballons d’or consécutifs entre 1983 et 1985 ?;Michel Platini;Diego Maradona;Franz Beckenbauer;0
foot;Quel joueur a remporté la coupe du monde 1990 et le Ballon d’Or la même année ?;Lothar Matthäus;Franz beckenbauer;Karl-heinz Rummenigue;0
foot;Quel footballeur brésilien, surnommé « el fenomeno » a été champion du monde 1994 et 2002 ?;Rivaldo;Ronaldo;Ronaldinho;1
foot;Quel gardien italien, champion du monde 2006, est considéré comme une légende de la Juventus ?;Dino Zoff;Gianluigi Buffon;Walter Zenga;1
foot;Quel joueur italien de la Roma, a porté le brassard de capitaine pendant plus de 15 ans ?;Alessandro Del Piero;Francesco Totti;Andrea Pirlo;1
foot;Que signifie l’acronyme VAR dans la football moderne ?;Video Assitance Referee;Virtual Action Replay;Visual Anlysis Report;0
foot;Quelle est la distance minimale entre le ballon est le mur défensif sur un coup franc ?;7 mètres;9,15 mètres;10 mètres;1
foot;Depuis quand l’arbitrage vidéo est-il utilisé en Coupe du Monde ?;2014;2018;2022;1
foot;Quelle est la durée d’un match, prolongations incluses ?;100 minutes;120 minutes;130 minutes;1
foot;Quelle décision prend l’arbitre en cas de but direct sur une touche ?;Validation du but;Touche à rejouer;But refusé, 6 mètres;2
foot;Quel joueur détient le plus grand nombre de buts inscrits en Coupe du Monde en 2025 ?;Ronaldo;Miroslav Klose;Lionel Messi;1
foot;Quel joueur français est le meilleur buteur de l’histoire de l’Equipe de France ? (En octobre 2025);Kylian Mbappé;Olivier Giroud;Thierry Henry;1
foot;Quel gardien détient le plus grand nombre de matchs sans encaisser de buts ?;Iker Casillas;Gianluigi Buffon;Manuel Neuer;1
foot;Quel pays détient le record de finales de Coupe du Monde perdues ?;Allemagne;Brésil;Pays-bas;0
foot;Quel joueur a disputé le plus grand nombre de matchs en Coupe du Monde ? (en octobre 2025);Lothar Matthäus;Lionel Messi;Paolo Maldini;1
foot;Quel club détient le record d’invicibilité en championnat de france ?;PSG;Nantes;Lyon;1
foot;Quel joueur a remporté le plus de titres collectifs dans l’histoire du football ?;Lionel Messi;Dani Alves;Cristiano Ronaldo;0
foot;Quel joueur a marqué le plus grand nombre de buts en une seule saison de Ligue de Champions ? (17);Cristiano Ronaldo;Robert Lewandoski;Lionel Messi;0
foot;Quel club européen a remporté le plus grand nombre de championnats nationaux dans son pays ?;Rangers FC;Real Madrid;Juventus Turin;0
foot;Qui détient le plus grand nombre de buts officiels en carrière ? (en octobre 2025) +850 buts;Lionel Messi;Cristiano Ronaldo;Pelé;1
foot;Quel entraîneur français a conduit l’équipe de France à la victoire en Coupe du Monde 2018 ?;Raymond Domenech;Laurent Blanc;Didier Deschamps;2
foot;Quel entraîneur espagnol est connu pour avoir popularisé le « tiki-taka » avec le FC Barcelone ?;Pep Guardiola;Luis Enrique;Vicente Del Bosque;0
foot;Quel célèbre entraîneur portugais est surnommé « The Special One » ?;Fernando Santos;José Mourinho;Jorge Jesus;1
foot;Quel entraîneur italien a remporté la Ligue des Champions avec l’AC Milan et le Real Madrid ?;Fabio Capello;Carlo Ancelotti;Roberto Mancini;1
foot;Quel entraîneur écossais a dirigé Manchester United pendant plus de 25 ans ?;Matt Busby;Alex Fergusson;David Moyes;1
foot;Quel entraîneur allemand est connu pour la démocratisation du « gegenpressing », le pressing après perte ?;Thomas Tuchel;Jurgen Klopp;Ralf Rangnick;2
foot;Quelle équipe anglaise a remporté la Ligue des Champions en 2008 ?;Chelsea;Manchester United;Liverpool;1
foot;Quelle équipe nationale a gagné l’Euro 2004 sous la direction d’Otto Rehhagel ?;Grèce;Portugal;République Tchèque;0
foot;Quel entraîneur français a remporté 3 fois la Ligue des Champions d’affilée ?;Arsène Wenger;Didier Deschamps;Zinédine Zidane;2
foot;Quelle expression italienne designe un style de jeu très défensif et organisé ?;Calcio;Catenaccio;Pressing Alto;1
foot;Quelle équipe nationale est surnommée « la Seleçao » ?;Brésil;Espagne;Portugal;0
foot;Quelle équipe a remporté l’Euro 2020 (joué en 2021) ?;Angleterre;Italie;Espagne;1
foot;Quelle équipe a remporté la Coupe d’Afrique des Nations en 2023 ?;Egypte;Côte d’Ivoire;Maroc;1
foot;Quelle équipe d’Amerique du Sud est la plus titrée en Copa America ? (en 2025);Bresil;Argentine;Uruguay;1
foot;Quelle selection asiatique a atteint les demi-finales de la Coupe du Monde 2002 ?;Japon;Corée du Sud;Arabie Saoudite;1
foot;Quel joueur camerounais est le meilleur buteur de l’histoire de la Coupe d’Afrique des Nations ?;Samuel Eto’o;Roger Milla;Didier Drogba;0
foot;Quelle équipe de l’est a remporté l’Euro 1976 ?;Hongrie;Tchécoslovaquie;Yougoslavie;1
foot;Quelle nation a remporté le plus grand nombre de Coupe d’Asie ?;Japon;Corée du Sud;Arabie Saoudite;0
foot;Quelle nation africaine a été la première à atteindre une demi-finale de Coupe du Monde;Ghana;Maroc;Cameroun;1
foot;Quelle sélection européenne est surnommée « la Nati » ?;Suisse;Autriche;Croatie;0
foot;Quelle équipe nationale sud américaine est surnomméé « la Celeste » ?;Uruguay;Argentine;Paraguay;0
foot;Quelle marque équipe officiellement la majorité des Coupes du Monde depuis 1970 ?;Nike;Adidas;Puma;1
foot;Quel club anglais est né en 1878 sous le nom de « Newton Heath » ?;Liverpool;Arsenal;Manchester United;2
foot;Quelle équipe nationale a pour surnom « les Diables Rouges »;Belgique;Suisse;Espagne;0
enfants;Que signifie le “OGC” dans OGC Nice ?;Ouh Génial Club !;Organisation Générale de la Côte;Olympique Gymnaste Club;2
enfants;Quel est le surnom souvent donné aux joueurs de l’OGC Nice ?;Les Aiglons;Les Pitchouns;Les Oursins;0
enfants;Combien de fois l’OGC Nice a-t-il été champion de France ?;Jamais, mais ils sont sympas quand même;4 fois;19 fois… dans leurs rêves !;1
enfants;Dans les années 1950, l’OGC Nice était…;Une équipe de water-polo;Super fort et gagnait plein de titres;Un restaurant de socca;1
enfants;Quel ancien stade a longtemps été la maison de l’OGC Nice ?;Le Ray;Le stade des Cigales;L’Allianz Marseille Arena;0
enfants;Quelle sont les couleurs de l’OGC Nice ?;Bleu;Rouge et noir;Rose fluo;1
enfants;Quel joueur est considéré comme une légende du club dans les années 1970 ?;Jean-Pierre Papin;lionel Messi;Jean-Marc Guillou;2
enfants;Quel est le nom du stade actuel de l’OGC Nice ?;Stade du Vieux-Port;Stade de la Socca Riviera;Allianz Riviera;2
enfants;En quelle année l’OGC Nice a-t-il remporté sa dernière Coupe de France ?;1997;2024;1904;0
enfants;Quel ancien joueur de l’OGC Nice a ensuite été champion d’Europe avec l’équipe de France en 1984 ?;Zinédine Zidane;Daniel Bravo;Jean Tigana;1
enfants;Qui était l’entraîneur de l’OGC Nice lors de la montée en Ligue 1 en 2002-2003 ?;Christophe Galtier;Didier Deschamps;Gernot Rohr;2
enfants;En 2016, l’OGC Nice termine 4e de Ligue 1 avec un entraîneur suisse. Quel est son nom ?;Roger Federer;Lucien Favre;Jean-Luc Lausanne;1
enfants;Quel célèbre buteur italien a porté le maillot de l’OGC Nice en 2016 ?;Mario Bros;Mario Balotelli;Mario Kartelli;1
enfants;Quel joueur formé à Nice est devenu capitaine de l’équipe de France ?;Claude Makélélé;Hugo Lloris;Michel Platini;1
enfants;Qui est l’entraineur de l’OGC Nice lors de la saison 2025-2026;Didier Deschamps;Franck Haise;Claude Puel;0
enfants;Qui est le Brésilien capitaine de l’ogcnice ?;Ronaldinho;Dante;Neymar;1
enfants;Quel joueur offensif, dribbleur exceptionnel à fait le bonheur de l’ogcnice en 2015 ?;Ronaldo;Hatem Ben Arfa;Lionel Messi;1
enfants;Quelles sont les deux couleurs principales du maillot de l’OGC Nice ?;Bleu et blanc;Rouge et noir;Vert et jaune;1
enfants;Quel animal est la mascotte du club ?;Un aigle;un tigre;un lion;0
enfants;"Pourquoi les joueurs de l’OGC Nice sont appelés ""les Aiglons"" ?";Parce qu’ils volent sur le terrain !;À cause de l’aigle sur le blason de la ville;Parce qu’ils adorent les œufs;1
enfants;Où se trouve l’aigle sur le maillot officiel de l’OGC Nice ?;sur les chaussettes;Dans le col;Sur l’écusson du club;2
enfants;À l’extérieur, le maillot de l’OGC Nice peut être…;Complètement transparent;Rose fluo avec des paillettes;Blanc, bleu ou parfois doré selon les saisons;2
enfants;Quel équipementier fabrique actuellement les maillots de l’OGC Nice (saison 2024-2025) ?;Adidas;Nike;le coq sportif;2
enfants;Comment s’appelle le stade actuel de l’OGC Nice ?;Stade du Ray;Allianz Riviera;Stade de la Plage;1
enfants;Avant l’Allianz Riviera, où l’OGC Nice jouait-il ses matchs ?;Au sommet du Mont Boron;Sur la Promenade des Anglais;Au Stade du Ray;2
enfants;Dans quel quartier se trouvait le Stade du Ray ?;Vieux Nice;Ray;Port;1
enfants;En quelle année l’OGC Nice a-t-il commencé à jouer à l’Allianz Riviera ?;2013;2000;1880;0
enfants;Combien de spectateurs peut accueillir l’Allianz Riviera environ ?;5 000;35 000;100 000;1
enfants;À côté de l’Allianz Riviera, on trouve aussi…;Un élevage d’aigles;Le Musée National du Sport;Une usine de socca;1
enfants;Que trouve-t-on dans les tribunes du stade ?;Des supporters qui chantent;Des gens qui dorment;Des bouées gonflables;0
enfants;Comment s’appelle la tribune des supporters les plus bruyants ?;Tribune présidentielle;Tribune Populaire Sud;Loges;1
enfants;Qu’est-ce qu’on entend souvent dans le stade quand Nice marque un but ?;Un concert de klaxons;Le chant “Issa Nissa !”;Des miaulements;1
enfants;Quel cri les supporters niçois scandent-ils pour encourager leur équipe ?;“Allez les bleus !”;“C’est nous les plus beaux !”;“Issa Nissa !”;2
enfants;Comment s’appelle le groupe de supporters les plus connus à Nice ?;Les Aigles Noirs;Les Ultras de la Mer;Les Populaires Sud;2
enfants;Quel est le rôle du “12e homme” dans une équipe de football ?;C’est un joueur de rechange qui entre en trottinette;C’est le cuisinier du vestiaire;Ce sont les supporters, qui motivent leur équipe;2
enfants;Que montre l’arbitre quand un joueur fait une grosse faute ?;Un carton jaune ou rouge;Un ballon;Un drapeau;0
enfants;Que doit faire un joueur pour marquer un but ?;Envoyer le ballon dans le but adverse;Passer le ballon à son gardien;Tirer un corner;0
enfants;Que fait-on quand un joueur est blessé ?;On arrête le jeu pour le soigner ou on le remplace;On continue à jouer;On lui donne un carton rouge;0
enfants;Quel joueur Argentin a gagné la Coupe du Monde 2022 avec son équipe ?;Lionel Messi;Cristiano Ronaldo;Antoine Griezmann;0
enfants;Quel célèbre joueur a porter le maillot du Real Madrid, de la Juventus et de Manchester United;Cristiano Ronaldo;Erling Haaland;Kylian M’Bappé;0
enfants;Quel ancien joueur Argentin des années 80/90 est considéré comme une légende du football ?;Diego Maradona;Lionel Messi;Pelé;0
enfants;Quel club d’Angleterre joue dans un stade appelé « OLD TRAFFORD » ?;Chelsea;Manchester United;Milan;0
enfants;Quel grand club italien joue avec un maillot rayé noir et blanc ?;Juventus de Turin;Inter Milan;As Rome;0
enfants;Quel club français joue au stade Vélodrome ?;Paris st germain;Olympique Lyonnais;Olympique de Marseille;0
enfants;Quel club allemand a remporté beaucoup de championnats et joue ses matchs à Munich ?;Borussia Dortmund;Bayern Munich;RB Leipzig;0
enfants;Comment s’appelle le geste ou le joueur frappe le ballon avant qu’il ne touche le sol ?;Une reprise de volée;Une passe;Un penalty;0
enfants;Quand un joueur passe le ballon à un coéquipier on dit qu’il fait …;Un dribble;Une passe;Un corner;0
enfants;Quand un joueur fait tomber un adversaire sans toucher le ballon dans la surface de réparation c’est;Corner;Penalty;Touche;0
enfants;Quand un joueur passe la balle à un coéquipier qui marque juste après c’est;Une passe ratée;Une passe en touche;Une passe décisive;0
enfants;Quel équipement le gardien est-il le seul à mettre pour jouer ?;Des gants;Des chaussettes;Des bracelets;0
enfants;Que portent les joueurs pour protéger leurs jambes ?;Des protège tibias;Des genouillères;Un pantalon;0
enfants;Que porte un gardien de but pour se différencier des autres joueurs ?;Un maillot d’une couleur différente;Une cape;Une écharpe;0
enfants;La coupe du monde de football a lieu tous les …;2 ans;4 ans;6 ans;0
enfants;Quel pays a gagné la Coupe du Monde en 2018 ?;La France;L’Allemagne;L’Espagne;0
enfants;Quel joueur argentin a soulevé la Coupe du Monde en 2022 ?;Lionel Messi;Diego Maradona;Neymar;0
enfants;Comment s’appelle le trophée remis à l’équipe qui gagne la Coupe du Monde;Le super ballon d’or;Le trophée des champions;La Coupe du Monde;0
enfants;Dans quel pays se joue la Premier League ?;En Espagne;En Angleterre;En Italie;0
enfants;Comment se nomme le championnat espagnol ?;La Liga;La Bundesliga;La Copa;0
enfants;Quel est le nom du championnat de football en Italie ?;Serie A;Super Cup;Liga Max;0
enfants;Comment s’appelle le championnat allemand ?;Bundesliga;Bundespizza;Bundesball;0
enfants;Quel est le nom de la mer qui borde Nice ?;L’océan atlantique;La mer méditerranée;La mer noire;0
enfants;Avant 1860, à quel royaume appartenait la ville de Nice ?;Les Etats Unis;L’Espagne;Le Comté de Savoie;0
enfants;En quelle année la Ville de Nice devient officiellement française ?;En 1860;En 1900;En 1789;0
enfants;Pourquoi la ville de Nice s’appelle ainsi ?;Elle vient du mot Niké, déesse grecque de la victoire;Parce qu’il fait beau tout le temps;Pour prendre le nom de la célèbre salade niçoise;0
enfants;Quel empereur rattacha Nice à la France ?;Emmanuel Macron;Napoleon 3;François 14;0
enfants;Comment se nomme la célèbre promenade qui long la mer à Nice ?;Promenade des Anglais;Promenade du Paillon;Promenade des Italiens;0
enfants;Que trouve-t-on sur la plage à Nice ?;Des galets;Du sable;Des coquillages géants;0
enfants;De quelle couleur est la mer à Nice lorsqu’il fait beau ?;Verte foncée;Bleue turquoise;Rouge;0
enfants;Quel est le nom du Port de Nice ?;Le port Lympia;La bonne mère;Le port des Anglais;0
enfants;Quel animal marin peut-on parfois voir au large de Nice ?;Un dauphin;Un pingouin;Un ours polaire;0
enfants;Quelle spécialité niçoise est faîte à base de farine de pois chiches ?;La socca;La pizza;La pissaladière;0
enfants;Comment s’appelle la grande salade typique de Nice, composée entre autres d’oeuf et de thon ?;La bouillabaisse;La salade niçoise;La salade césar;0
enfants;Quel est le nom de la tarte salée aux oignons, spécialité niçoise ?;La quiche lorraine;La pissaladière;La tarte à la tomate;0
enfants;Quel plat niçois se compose de légumes dans lesquelles on introduit une préparation à base de viande ?;les farcis;La pita;la pissaladière;0
enfants;Comment s’appelle la fête qui a lieu à Nice chaque année avec des chars et des confettis ?;La fête des citrons;Le carnaval;La fête du soleil;0
enfants;Pendant le carnaval de Nice, qui défile sur le plus grand char ?;Le Père Nöel;Le roi du Carnaval;Le Maire de Nice;0
enfants;Que lancent les spectateurs pendant la Bataille des Fleurs à Nice;Des ballons;Des fleurs;Des galets;0
enfants;Quel est le nom de la danse traditionnelle niçoise;La farandole;La valse;Le hip-hop;0
enfants;Quel ancien maire de Nice a donnée son nom à l’avenue centrale de la ville;Jacques Peyrat;Jean Médecin;Christian Estrosi;0
enfants;Quel peintre a vécu à Nice et à laissé son nom à un musée;Henri Matisse;Pablo Picasso;Van gogh;0
enfants;Comment s’appelle la colline verte au centre de Nice avec sa célèbre cascade ?;La colline du château;La colline des oiseaux;La colline du soleil;0
enfants;Quel fleuve traverse Nice,à l’ouest au niveau de l’aéroport ?;Le Rhône;Le Var;La Seine;0
enfants;Quel est le nom du grand parc naturel, proche de Nice, composé de montagnes et d’animaux ?;Le Parc du Mercantour;Le Parc du Soleil;Le Parc de Disneyland;0
enfants;Quel arbre aux grandes feuilles et au fruit appelé olives pousse beaucoup dans la région niçoise ?;Le chêne;L’olivier;Le pommier;0
enfants;Comment s’appelle le jardin situé à côté de la place Massena à Nice;Le jardin Albert 1er;Le jardin du Roi;Le jardin des Roses;0
